Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|20.12l OPT CENTER MEET DOOR @ LOFT - MSLIDE1,|20.12l OPT CENTER MEET DOOR @ LOFT,3,,MSLIDE1,MSLIDE1,4085,Lumber,,,|20.12l OPT CENTER MEET DOOR @ LOFT,MSLIDE1,,,,|20.12l OPT CENTER MEET DOOR @ LOFT,,,,|20,.12l OPT CENTER MEET DOOR @ LOFT,4085,Lumber
|20.13 OPT MULT-SLIDE DOOR - MSLIDE2,|20.13 OPT MULT,3,,"SLIDE DOOR, MSLIDE2","SLIDE DOOR, MSLIDE2",4085,Lumber,,,|20.13 OPT MULT,SLIDE DOOR,MSLIDE2,,,|20.13 OPT MULT,,,,|20,.13 OPT MULT,4085,Lumber
|20.13l OPT MULTI-SLIDE DOOR @ LOFT - MSLIDE2,|20.13l OPT MULTI,3,,"SLIDE DOOR @ LOFT, MSLIDE2","SLIDE DOOR @ LOFT, MSLIDE2",4085,Lumber,,,|20.13l OPT MULTI,SLIDE DOOR @ LOFT,MSLIDE2,,,|20.13l OPT MULTI,,,,|20,.13l OPT MULTI,4085,Lumber
|20.14 OPT BEDROOM 2 WINDOW - WDWBR2,|20.14 OPT BEDROOM 2 WINDOW,3,,WDWBR2,WDWBR2,4085,Lumber,,,|20.14 OPT BEDROOM 2 WINDOW,WDWBR2,,,,|20.14 OPT BEDROOM 2 WINDOW,,,,|20,.14 OPT BEDROOM 2 WINDOW,4085,Lumber
|20.15 OPT BEDROOM 3 WINDOW - WDWBR3,|20.15 OPT BEDROOM 3 WINDOW,3,,WDWBR3,WDWBR3,4085,Lumber,,,|20.15 OPT BEDROOM 3 WINDOW,WDWBR3,,,,|20.15 OPT BEDROOM 3 WINDOW,,,,|20,.15 OPT BEDROOM 3 WINDOW,4085,Lumber
|20.15 OPT BEDROOM 3 WINDOW - WDWBR4,|20.15 OPT BEDROOM 3 WINDOW,3,,WDWBR4,WDWBR4,4085,Lumber,,,|20.15 OPT BEDROOM 3 WINDOW,WDWBR4,,,,|20.15 OPT BEDROOM 3 WINDOW,,,,|20,.15 OPT BEDROOM 3 WINDOW,4085,Lumber
|20.16 OPT BEDROOM 4 WINDOW - WDWBR4,|20.16 OPT BEDROOM 4 WINDOW,3,,WDWBR4,WDWBR4,4085,Lumber,,,|20.16 OPT BEDROOM 4 WINDOW,WDWBR4,,,,|20.16 OPT BEDROOM 4 WINDOW,,,,|20,.16 OPT BEDROOM 4 WINDOW,4085,Lumber
|20.17 OPT BEDROOM 5 WINDOW - WDWBR5,|20.17 OPT BEDROOM 5 WINDOW,3,,WDWBR5,WDWBR5,4085,Lumber,,,|20.17 OPT BEDROOM 5 WINDOW,WDWBR5,,,,|20.17 OPT BEDROOM 5 WINDOW,,,,|20,.17 OPT BEDROOM 5 WINDOW,4085,Lumber
|20.19 OPT STUDY WINDOW - WDWSTUDY,|20.19 OPT STUDY WINDOW,3,,WDWSTUDY,WDWSTUDY,4085,Lumber,,,|20.19 OPT STUDY WINDOW,WDWSTUDY,,,,|20.19 OPT STUDY WINDOW,,,,|20,.19 OPT STUDY WINDOW,4085,Lumber
|20.20 OPT POWDER - ABAPWDR,|20.20 OPT POWDER,3,,ABAPWDR,ABAPWDR,4085,Lumber,,,|20.20 OPT POWDER,ABAPWDR,,,,|20.20 OPT POWDER,,,,|20,.20 OPT POWDER,4085,Lumber
