Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation Letter Combined,Option,Elevation/Option Combined,Elevation/ Option 1,Elevation/ Option 2,Elevation/ Option 3,Plan#,,,ItemNo,Type,,Final Code
|23.20 COVERED PATIO 2     ,3,,COVP2,COVP2,COVP2,,,XXXX,23.20,COVERED PATIO 2     ,1000,Framing,,XXXX-23.2-1000
|23.30 COVERED PATIO 3     ,3,,COVP3,COVP3,COVP3,,,XXXX,23.30,COVERED PATIO 3     ,1000,Framing,,XXXX-23.3-1000
|23.61 SUNROOM COVERED PATIO     ,3,,COVPSN1,COVPSN1,COVPSN1,,,XXXX,23.61,SUNROOM COVERED PATIO     ,1000,Framing,,XXXX-23.61-1000
|23.sr COVERED PATIO @ SUNROOM    ,3,,"SUN, SUNWO, COVPSN1, COVD1SN","SUN, SUNWO, COVPSN1, COVD1SN",SUN,SUNWO,COVPSN1,XXXX,23.sr,COVERED PATIO @ SUNROOM    ,1000,Framing,,XXXX-23.sr-1000
|23.xc EXTENDED COVERED PATIO     ,3,,COVPX,COVPX,COVPX,,,XXXX,23.xc,EXTENDED COVERED PATIO     ,1000,Framing,,XXXX-23.xc-1000
|24.00 DECK FRAMING      ,3,,WO,WO,WO,,,XXXX,24.00,DECK FRAMING      ,1000,Framing,,XXXX-24-1000
|24.10 DECK FRAMING      ,3,,DECK,DECK,DECK,,,XXXX,24.10,DECK FRAMING      ,1000,Framing,,XXXX-24.1-1000
|24.20 DECK FRAMING      ,3,,DECK2,DECK2,DECK2,,,XXXX,24.20,DECK FRAMING      ,1000,Framing,,XXXX-24.2-1000
|24.30 DECK FRAMING      ,3,,DECK3,DECK3,DECK3,,,XXXX,24.30,DECK FRAMING      ,1000,Framing,,XXXX-24.3-1000
|24.60 DECK FRAMING @ EXT GRT RM WALKOUT ,3,,"XGREAT, COVD2, WO2","XGREAT, COVD2, WO2",XGREAT,COVD2,WO2,XXXX,24.60,DECK FRAMING @ EXT GRT RM WALKOUT ,1000,Framing,,XXXX-24.6-1000
|24.ed EXT DECK FRAMING     ,3,,"COVD2, WO","COVD2, WO",COVD2,WO,,XXXX,24.ed,EXT DECK FRAMING     ,1000,Framing,,XXXX-24.ed-1000
|24.sr DECK FRAMING @ SUNROOM    ,3,,"SUN, COVD1SN, SUNWO","SUN, COVD1SN, SUNWO",SUN,COVD1SN,SUNWO,XXXX,24.sr,DECK FRAMING @ SUNROOM    ,1000,Framing,,XXXX-24.sr-1000
|24.sr DECK FRAMING @ SUNROOM    ,3,,"COVD1SN, SUNWO","COVD1SN, SUNWO",COVD1SN,SUNWO,,XXXX,24.sr,DECK FRAMING @ SUNROOM    ,1000,Framing,,XXXX-24.sr-1000
